source_wallet,txn_count,No_Days_Active,initial_funding,Last_txn_out,current_balance,first_transaction_date,last_trasaction_date
0xe7ccdcea665c9a41ca5c65396459da681be16d29,1,1,0.49,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0025579042361688,2023-01-01,2023-01-01
0xc474a9a00e56c3bf947c71edd1515dad5706d3d5,3,1,10.3,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.5517180666088388,2023-01-01,2023-01-01
0xd1259232b40088d26b1d2099f597955e563554e4,4,3,5.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,3.973838303144608,2022-02-07,2023-01-01
0x3f39874e2bd1057f1f13a9058b6061affbf46813,1,1,5.5,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.5322748030886063,2023-01-01,2023-01-01
0x366c4a44a6c88da072c4dcb50bfa672473c12631,2,1,5.967841,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.729859519487546,2023-01-01,2023-01-01
0xfdb77560557387fdc8a0d336714a16a09ec44a54,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0085913431547012,2023-01-01,2023-01-01
0x4d3420e98408e4a2c653a3f3e2bfc2cdfcfb3fca,2,1,26.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.991699557407665,2023-01-01,2023-01-01
0x1816130fad39105a6d3e7cf55f001ff90084fea7,1,1,0.49,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0027750414342135,2023-01-01,2023-01-01
0xd9db15d5c3a749a72e4f1283bd9562736f828316,2,1,9.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,4.893812860727154,2023-01-01,2023-01-01
0x701ef401122679826e5135a6baf5f2df45dc7c64,2,2,6.3,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.2928966265266473,2022-12-31,2023-01-01
0xa8b2794146e897a3dceb0d72d6e7fdda761588db,3,1,0.5,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.4870509115115831,2023-01-01,2023-01-01
0x2cfef8b920e4a94b5dd2210b11a791c19dc79e65,4,3,5.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,3.9599269081428097,2022-02-07,2023-01-01
0x9296dff1ef1d5dfc830752c4cdd6c077f132901d,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.008518519487546,2023-01-01,2023-01-01
0x409aecf5bfdf2399b21da6e15c2321b632d3f398,3,1,0.5,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.4884642859719318,2023-01-01,2023-01-01
0x0895c046a77b02a5c99fddcfe2e5dbcf8ac9e320,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.04859700092,2023-01-01,2023-01-01
0xe30601757f8823f65e23674e7a86b0b9f266a813,1,1,6.23,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.942159372145059,2023-01-01,2023-01-01
0xff8680a036bc0c9798b7d7c97ad04e0ffd590c75,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.008518519487546,2023-01-01,2023-01-01
0x4b48a3342512f001a36603e494d5b07179f2837d,1,1,0.483,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0118857137485932,2023-01-01,2023-01-01
0x55c8e105d0e83bb1e39e86a64d1db04002716518,1,1,0.995,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0389217365105091,2023-01-01,2023-01-01
0x984a5b516fcb8aebee9f17c373309363965e8c08,4,3,5.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,3.973827681164245,2022-02-07,2023-01-01
0xf99025430a559608c94b14e39e0abb7a0ddff412,3,1,2.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.7381448687496053,2023-01-01,2023-01-01
0x768347b0b010600991a56a0e9f26b373de6fedb8,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0443271006065154,2023-01-01,2023-01-01
0x675a70c455da5e10a86f752e6904231fa5f3969f,1,1,0.493,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.003243802705568,2023-01-01,2023-01-01
0xa4f90484913703e5758e19d1d639f7f8f20fda00,22,9,0.06,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,80.28378717106969,2022-01-23,2023-01-01
0x14bdb0ac76b1719c2a2b3768ad702b488ec45cac,1,1,0.493,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0016869758417625,2023-01-01,2023-01-01
0x0f76cc788c3ef6aeff40fc5b07785b4fb1cd8c26,2,1,25.5,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.4918072077462218,2023-01-01,2023-01-01
0x3df3e826ab19a8206379d332b1b74d7b8bb051c5,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0430967557545584,2023-01-01,2023-01-01
0x0d344842356e73196373e6f445b04880f7242c5a,1,1,0.49,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.002590466782611,2023-01-01,2023-01-01
0x094a02e5cf04b01517888164bc837c96b80fb49f,1,1,6.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0337357734053971,2023-01-01,2023-01-01
0xdcd1000cb62fae013aed379d9f1287d828bceaa3,10,2,9.99,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,9.550281439101663,2022-02-17,2023-01-01
0x6e9e5e7b348c9e705bea5aed65b34209199c8494,1,1,10.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.2616217467277076,2023-01-01,2023-01-01
0xb64df00b7c09611cefcbecd4082f06b87ba732e5,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0092628132835904,2023-01-01,2023-01-01
0x00495accdc2650422e3eaad6e94a2e8cca7e37ce,2,1,10.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,5.893519695088607,2023-01-01,2023-01-01
0x87decdbcdf1df01fc81d9381a6bfea382356fc34,2,2,2.03,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0248647471316305,2022-12-31,2023-01-01
0xbe5c063c54e35bf783a8856e7e589edb63e17039,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0085417646727476,2023-01-01,2023-01-01
0xea138e0e6ea96c1556fd742d24f060bd3b14198c,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0394041993193599,2023-01-01,2023-01-01
0xa9545016dfa4f0a93094e2b23e4ae1ec9b060749,2,1,5.515,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.2085123494937046,2023-01-01,2023-01-01
0xac373e34383143a24b8ee00ef10ae8b3b1aa5058,1,1,0.455,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0059536683173069,2023-01-01,2023-01-01
0x3a301d69d61619f3cea1a8d1a54ab4386d3e1d3c,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.008518519487546,2023-01-01,2023-01-01
0xf7c048277d48db38c22733c78e74f1790818a5a0,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0084689186026255,2023-01-01,2023-01-01
0x5ee09a37ffd619c01a3487681fb152a618dd8c93,1,1,7.5,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.3449389604886063,2023-01-01,2023-01-01
0x76c0f015430a10855dc6e496d3dd2bff03684e96,4,4,5.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,3.966300812681197,2022-02-07,2023-01-01
0x2a1c22408b629f73b19bdf11fa261200b51d9d4d,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0121101312,2023-01-01,2023-01-01
0xba5a43c239bffe2992f67f97483f77ba29b5800d,1,1,1.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.432910841510704,2023-01-01,2023-01-01
0x6e83fbea1b81c18c81839a39ff21057ba15cb1b6,2,1,54.845,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,4.822972420046958,2023-01-01,2023-01-01
0xb1df02eaa2de326243f8003dab48fb6ce21a7f8f,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0098527557345996,2023-01-01,2023-01-01
0x4e8807d0013997ffbe1f8d99b1f6cfd1f8628405,2,1,29.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,4.895776871156228,2023-01-01,2023-01-01
0x26b19ad87d76cf2f78fd83b35a1e5b71c55d220d,22,11,0.0937765492,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,6.689743193033179,2021-09-27,2023-01-01
0xb8cf927212f875f7c3f24888b96083e75f44a9ed,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0417934769545135,2023-01-01,2023-01-01
0x017f56e4f9b1439b4bcbe4389dead3394a7b9c6c,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.008756084744738,2023-01-01,2023-01-01
0x1facc2a31ee32ef79c0fbe1a7f6e5e8fffc9f069,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0440178355576259,2023-01-01,2023-01-01
0x7fb14e34ca7bc4d9321f496a24545c406c33b31c,1,1,0.455,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0178168953012186,2023-01-01,2023-01-01
0x6b3541e1769ad6e261b5ad006fd4385b00aa24f2,6,1,1.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.354341488150122,2023-01-01,2023-01-01
0xcdbd6808185cb01bbb2cf98f59464e6951b6a001,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0085559736399352,2023-01-01,2023-01-01
0x4305098aceea4483d5eeb9eb8c6d8aa3aa0eb832,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0098637845328312,2023-01-01,2023-01-01
0xc4f38daacce60ecd2a0f14b0de84ee85c7c92679,2,1,9.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,4.894864743502024,2023-01-01,2023-01-01
0xc8a11de58544d66dd471ffe33a3f365cd7148ec0,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0430967557545584,2023-01-01,2023-01-01
0x1129da039e16da3a06f7a76076f7f1a2b9b8b3ec,1,1,0.1,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.1445362365393384,2023-01-01,2023-01-01
0xc0f82fa8c0bb9d9222f133d3c842b6156b53932d,80,25,293.8897,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.779299044356591,2021-05-02,2023-01-01
0x97311a47738f5e185529ee528c08b790213bbd05,4,1,9.5,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.4576953136608147,2023-01-01,2023-01-01
0xe59c6486cf29020f6d945b3b295068e45f38ec72,7,2,5.9923485723,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,9.963696681078009,2022-02-02 00:00:00,2023-01-01 00:00:00
0x3f362662d43546c0eaf9d97c4b7a624470ced570,1,1,6.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.6191957808255303,2023-01-01 00:00:00,2023-01-01 00:00:00
0x0033338d806e68a16b297f760cb475f3bc89a16f,1,1,0.455,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0286449724351315,2023-01-01 00:00:00,2023-01-01 00:00:00
